young_count,old_count,beat_id_full,weather_condition_full,quarter_full,ratio_young_old_FINAL
2,8,513,CLOUDY/OVERCAST,1,0.25
,3,522,CLOUDY/OVERCAST,1,0
,2,523,CLOUDY/OVERCAST,1,0
2,8,524,CLOUDY/OVERCAST,1,0.25
3,5,531,CLOUDY/OVERCAST,1,0.59999999999999998
,9,611,CLOUDY/OVERCAST,1,0
4,11,612,CLOUDY/OVERCAST,1,0.36363636363636365
,16,613,CLOUDY/OVERCAST,1,0
1,17,614,CLOUDY/OVERCAST,1,5.8823529411764705E-2
6,21,621,CLOUDY/OVERCAST,1,0.2857142857142857
3,24,622,CLOUDY/OVERCAST,1,0.125
2,31,623,CLOUDY/OVERCAST,1,6.4516129032258063E-2
,9,624,CLOUDY/OVERCAST,1,0
,2,631,CLOUDY/OVERCAST,1,0
1,14,632,CLOUDY/OVERCAST,1,7.1428571428571425E-2
,2,633,CLOUDY/OVERCAST,1,0
1,5,634,CLOUDY/OVERCAST,1,0.20000000000000001
,31,711,CLOUDY/OVERCAST,1,0
1,3,712,CLOUDY/OVERCAST,1,0.33333333333333331
3,6,713,CLOUDY/OVERCAST,1,0.5
1,4,714,CLOUDY/OVERCAST,1,0.25
,6,715,CLOUDY/OVERCAST,1,0
3,8,722,CLOUDY/OVERCAST,1,0.375
4,13,723,CLOUDY/OVERCAST,1,0.30769230769230771
,1,724,CLOUDY/OVERCAST,1,0
,7,725,CLOUDY/OVERCAST,1,0
,8,726,CLOUDY/OVERCAST,1,0
1,12,731,CLOUDY/OVERCAST,1,8.3333333333333329E-2
3,5,732,CLOUDY/OVERCAST,1,0.59999999999999998
5,11,733,CLOUDY/OVERCAST,1,0.45454545454545453
,14,734,CLOUDY/OVERCAST,1,0
2,18,735,CLOUDY/OVERCAST,1,0.1111111111111111
2,10,811,CLOUDY/OVERCAST,1,0.20000000000000001
,3,812,CLOUDY/OVERCAST,1,0
,16,813,CLOUDY/OVERCAST,1,0
,11,814,CLOUDY/OVERCAST,1,0
5,20,815,CLOUDY/OVERCAST,1,0.25
2,20,821,CLOUDY/OVERCAST,1,0.10000000000000001
4,14,822,CLOUDY/OVERCAST,1,0.2857142857142857
2,14,823,CLOUDY/OVERCAST,1,0.14285714285714285
1,9,824,CLOUDY/OVERCAST,1,0.1111111111111111
,10,825,CLOUDY/OVERCAST,1,0
1,8,831,CLOUDY/OVERCAST,1,0.125
,6,832,CLOUDY/OVERCAST,1,0
6,18,833,CLOUDY/OVERCAST,1,0.33333333333333331
