date_id,day,month,year,quarter,day_of_week,week_number,is_weekend,is_holiday
20180302,2,3,2018,1,Friday,9,0,0
20180301,1,3,2018,1,Thursday,9,0,0
20180228,28,2,2018,1,Wednesday,9,0,0
20180227,27,2,2018,1,Tuesday,9,0,0
20180226,26,2,2018,1,Monday,9,0,0
20180225,25,2,2018,1,Sunday,8,1,0
20180224,24,2,2018,1,Saturday,8,1,0
20180223,23,2,2018,1,Friday,8,0,0
20180222,22,2,2018,1,Thursday,8,0,0
20180221,21,2,2018,1,Wednesday,8,0,0
20180220,20,2,2018,1,Tuesday,8,0,0
20180219,19,2,2018,1,Monday,8,0,0
20180218,18,2,2018,1,Sunday,7,1,0
20180217,17,2,2018,1,Saturday,7,1,0
20180216,16,2,2018,1,Friday,7,0,0
20180215,15,2,2018,1,Thursday,7,0,0
20180214,14,2,2018,1,Wednesday,7,0,0
20180213,13,2,2018,1,Tuesday,7,0,0
20180212,12,2,2018,1,Monday,7,0,0
20180211,11,2,2018,1,Sunday,6,1,0
20180210,10,2,2018,1,Saturday,6,1,0
20180209,9,2,2018,1,Friday,6,0,0
20180208,8,2,2018,1,Thursday,6,0,0
20180207,7,2,2018,1,Wednesday,6,0,0
20180206,6,2,2018,1,Tuesday,6,0,0
20180205,5,2,2018,1,Monday,6,0,0
20180204,4,2,2018,1,Sunday,5,1,0
20180203,3,2,2018,1,Saturday,5,1,0
20180202,2,2,2018,1,Friday,5,0,0
20180201,1,2,2018,1,Thursday,5,0,0
20180131,31,1,2018,1,Wednesday,5,0,0
20180130,30,1,2018,1,Tuesday,5,0,0
20180129,29,1,2018,1,Monday,5,0,0
20180128,28,1,2018,1,Sunday,4,1,0
20180127,27,1,2018,1,Saturday,4,1,0
20180126,26,1,2018,1,Friday,4,0,0
20180125,25,1,2018,1,Thursday,4,0,0
20180124,24,1,2018,1,Wednesday,4,0,0
20180123,23,1,2018,1,Tuesday,4,0,0
20180122,22,1,2018,1,Monday,4,0,0
20180121,21,1,2018,1,Sunday,3,1,0
20180120,20,1,2018,1,Saturday,3,1,0
20180119,19,1,2018,1,Friday,3,0,0
20180118,18,1,2018,1,Thursday,3,0,0
20180117,17,1,2018,1,Wednesday,3,0,0
20180116,16,1,2018,1,Tuesday,3,0,0
20180115,15,1,2018,1,Monday,3,0,0
20180114,14,1,2018,1,Sunday,2,1,0
20180113,13,1,2018,1,Saturday,2,1,0
20180112,12,1,2018,1,Friday,2,0,0
20180111,11,1,2018,1,Thursday,2,0,0
20180110,10,1,2018,1,Wednesday,2,0,0
20180109,9,1,2018,1,Tuesday,2,0,0
20180108,8,1,2018,1,Monday,2,0,0
20180107,7,1,2018,1,Sunday,1,1,0
20180106,6,1,2018,1,Saturday,1,1,0
20180105,5,1,2018,1,Friday,1,0,0
20180104,4,1,2018,1,Thursday,1,0,0
20180103,3,1,2018,1,Wednesday,1,0,0
20180102,2,1,2018,1,Tuesday,1,0,0
20180101,1,1,2018,1,Monday,1,0,0
20171231,31,12,2017,4,Sunday,52,1,0
20171230,30,12,2017,4,Saturday,52,1,0
20171229,29,12,2017,4,Friday,52,0,0
20171228,28,12,2017,4,Thursday,52,0,0
20171227,27,12,2017,4,Wednesday,52,0,0
20171226,26,12,2017,4,Tuesday,52,0,0
20171225,25,12,2017,4,Monday,52,0,0
20171224,24,12,2017,4,Sunday,51,1,0
20171223,23,12,2017,4,Saturday,51,1,0
20171222,22,12,2017,4,Friday,51,0,0
20171221,21,12,2017,4,Thursday,51,0,0
20171220,20,12,2017,4,Wednesday,51,0,0
20171219,19,12,2017,4,Tuesday,51,0,0
20171218,18,12,2017,4,Monday,51,0,0
20171217,17,12,2017,4,Sunday,50,1,0
20171216,16,12,2017,4,Saturday,50,1,0
20171215,15,12,2017,4,Friday,50,0,0
20171214,14,12,2017,4,Thursday,50,0,0
20171213,13,12,2017,4,Wednesday,50,0,0
20171212,12,12,2017,4,Tuesday,50,0,0
20171211,11,12,2017,4,Monday,50,0,0
20171210,10,12,2017,4,Sunday,49,1,0
20171209,9,12,2017,4,Saturday,49,1,0
20171208,8,12,2017,4,Friday,49,0,0
20171207,7,12,2017,4,Thursday,49,0,0
20171206,6,12,2017,4,Wednesday,49,0,0
20171205,5,12,2017,4,Tuesday,49,0,0
20171204,4,12,2017,4,Monday,49,0,0
20171203,3,12,2017,4,Sunday,48,1,0
20171202,2,12,2017,4,Saturday,48,1,0
20171201,1,12,2017,4,Friday,48,0,0
20171130,30,11,2017,4,Thursday,48,0,0
20171129,29,11,2017,4,Wednesday,48,0,0
20171128,28,11,2017,4,Tuesday,48,0,0
20171127,27,11,2017,4,Monday,48,0,0
20171126,26,11,2017,4,Sunday,47,1,0
20171125,25,11,2017,4,Saturday,47,1,0
20171124,24,11,2017,4,Friday,47,0,0
20171123,23,11,2017,4,Thursday,47,0,0
20171122,22,11,2017,4,Wednesday,47,0,0
20171121,21,11,2017,4,Tuesday,47,0,0
20171120,20,11,2017,4,Monday,47,0,0
20171119,19,11,2017,4,Sunday,46,1,0
20171118,18,11,2017,4,Saturday,46,1,0
20171117,17,11,2017,4,Friday,46,0,0
20171116,16,11,2017,4,Thursday,46,0,0
20171115,15,11,2017,4,Wednesday,46,0,0
20171114,14,11,2017,4,Tuesday,46,0,0
